Source;Target;Weight
0;0;0.000000
0;1;0.185501
0;2;0.298139
0;3;0.492915
0;4;0.295648
0;5;0.297794
0;6;0.503591
0;7;0.981283
0;8;0.184124
0;9;0.907784
0;10;0.228108
0;11;0.912542
0;12;0.763261
0;13;0.612954
0;14;0.924798
0;15;0.592470
0;16;0.813166
0;17;0.476416
0;18;0.994514
0;19;0.843592
0;20;0.165784
0;21;0.599487
0;22;0.889417
0;23;0.531657
0;24;0.655498
0;25;0.595003
0;26;0.567818
0;27;0.626489
0;28;0.875621
0;29;0.982748
0;30;0.397924
0;31;0.335943
0;32;0.153136
0;33;0.339349
0;34;0.709276
0;35;0.969843
0;36;0.986518
0;37;0.991549
0;38;0.590128
0;39;0.628844
0;40;0.908285
0;41;0.884501
0;42;0.443186
0;43;0.969424
0;44;0.447946
0;45;0.667647
0;46;0.663926
0;47;0.565496
0;48;0.960849
0;49;0.915333
0;50;0.642895
0;51;0.984273
0;52;0.238624
0;53;0.707923
0;54;0.206365
0;55;0.472461
0;56;0.813366
0;57;0.771463
0;58;0.304432
0;59;0.645424
0;60;0.742717
0;61;0.692312
0;62;0.969151
0;63;0.663298
0;64;0.221079
0;65;0.285820
0;66;0.315313
0;67;0.620774
0;68;0.963771
0;69;0.826175
0;70;0.153161
0;71;0.287432
0;72;0.714250
0;73;0.223825
0;74;0.585307
0;75;0.274224
0;76;0.439197
0;77;0.587879
0;78;0.561851
0;79;0.697758
0;80;0.229390
0;81;0.288643
1;0;0.185501
1;1;0.000000
1;2;0.154097
1;3;0.440136
1;4;0.093650
1;5;0.399127
1;6;0.189324
1;7;0.949663
1;8;0.311629
1;9;0.869171
1;10;0.364083
1;11;0.874660
1;12;0.732526
1;13;0.699865
1;14;0.923683
1;15;0.684540
1;16;0.861614
1;17;0.359085
1;18;0.995961
1;19;0.876189
1;20;0.209776
1;21;0.434105
1;22;0.878772
1;23;0.195590
1;24;0.542681
1;25;0.579049
1;26;0.377228
1;27;0.512626
1;28;0.875085
1;29;0.977778
1;30;0.257248
1;31;0.094123
1;32;0.109930
1;33;0.134982
1;34;0.682158
1;35;0.937153
1;36;0.981838
1;37;0.993930
1;38;0.289391
1;39;0.654017
1;40;0.911794
1;41;0.818145
1;42;0.588687
1;43;0.914689
1;44;0.448504
1;45;0.651786
1;46;0.612557
1;47;0.228040
1;48;0.965786
1;49;0.922306
1;50;0.665189
1;51;0.959410
1;52;0.025626
1;53;0.633037
1;54;0.151655
1;55;0.369054
1;56;0.858894
1;57;0.704674
1;58;0.133246
1;59;0.464420
1;60;0.764384
