class labels,features,ngrams,num_comp,classifier,measure,value
google,justc,bi,all,AdaBoost,Fscore,0.3072196621
google,justc,bi,all,AdaBoost,Precision,0.2267573696
google,justc,bi,all,AdaBoost,Recall,0.4761904762
google,justc,bi,all,AdaBoost,Score,0.4761904762
google,justc,bi,all,Decision Tree,Fscore,0.3072196621
google,justc,bi,all,Decision Tree,Precision,0.2267573696
google,justc,bi,all,Decision Tree,Recall,0.4761904762
google,justc,bi,all,Decision Tree,Score,0.4761904762
google,justc,bi,all,Dummy,Fscore,0.3072196621
google,justc,bi,all,Dummy,Precision,0.2267573696
google,justc,bi,all,Dummy,Recall,0.4761904762
google,justc,bi,all,Dummy,Score,0.4761904762
google,justc,bi,all,Linear SVM,Fscore,0.3072196621
google,justc,bi,all,Linear SVM,Precision,0.2267573696
google,justc,bi,all,Linear SVM,Recall,0.4761904762
google,justc,bi,all,Linear SVM,Score,0.4761904762
google,justc,bi,all,Logistic Regression,Fscore,0.3072196621
google,justc,bi,all,Logistic Regression,Precision,0.2267573696
google,justc,bi,all,Logistic Regression,Recall,0.4761904762
google,justc,bi,all,Logistic Regression,Score,0.4761904762
google,justc,bi,all,Naive Bayes,Fscore,0.0001249844
google,justc,bi,all,Naive Bayes,Precision,6.29881582262535E-05
google,justc,bi,all,Naive Bayes,Recall,0.0079365079
google,justc,bi,all,Naive Bayes,Score,0.0079365079
google,justc,bi,all,Nearest Neighbors,Fscore,0.3072196621
google,justc,bi,all,Nearest Neighbors,Precision,0.2267573696
google,justc,bi,all,Nearest Neighbors,Recall,0.4761904762
google,justc,bi,all,Nearest Neighbors,Score,0.4761904762
google,justc,bi,all,Neural Net,Fscore,0.3072196621
google,justc,bi,all,Neural Net,Precision,0.2267573696
google,justc,bi,all,Neural Net,Recall,0.4761904762
google,justc,bi,all,Neural Net,Score,0.4761904762
google,justc,bi,all,RBF SVM,Fscore,0.3072196621
google,justc,bi,all,RBF SVM,Precision,0.2267573696
google,justc,bi,all,RBF SVM,Recall,0.4761904762
google,justc,bi,all,RBF SVM,Score,0.4761904762
google,justc,bi,all,Random Forest,Fscore,0.3072196621
