% 1. Title: Playstore Data Category Classification
% 
% 2. Sources:
%      (a) Creator: P. K. Das
%      (b) Source: Google Play Store dataset
%      (c) Date: June, 2016
% 
@RELATION playstore

@ATTRIBUTE _llseek NUMERIC
@ATTRIBUTE arch_prctl NUMERIC
@ATTRIBUTE bind NUMERIC
@ATTRIBUTE clock_gettime NUMERIC
@ATTRIBUTE clone NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE connect NUMERIC
@ATTRIBUTE dup NUMERIC
@ATTRIBUTE epoll_ctl NUMERIC
@ATTRIBUTE epoll_pwait NUMERIC
@ATTRIBUTE exit_group NUMERIC
@ATTRIBUTE faccessat NUMERIC
@ATTRIBUTE fchmod NUMERIC
@ATTRIBUTE fchmodat NUMERIC
@ATTRIBUTE fcntl NUMERIC
@ATTRIBUTE fdatasync NUMERIC
@ATTRIBUTE flock NUMERIC
@ATTRIBUTE fstat NUMERIC
@ATTRIBUTE fsync NUMERIC
@ATTRIBUTE ftruncate NUMERIC
@ATTRIBUTE futex NUMERIC
@ATTRIBUTE geteuid NUMERIC
@ATTRIBUTE getppid NUMERIC
@ATTRIBUTE getpriority NUMERIC
@ATTRIBUTE getrlimit NUMERIC
@ATTRIBUTE getsockname NUMERIC
@ATTRIBUTE getsockopt NUMERIC
@ATTRIBUTE gettimeofday NUMERIC
@ATTRIBUTE getuid NUMERIC
@ATTRIBUTE inotify_add_watch NUMERIC
@ATTRIBUTE inotify_rm_watch NUMERIC
@ATTRIBUTE ioctl NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE lseek NUMERIC
@ATTRIBUTE madvise NUMERIC
@ATTRIBUTE mkdirat NUMERIC
@ATTRIBUTE mmap NUMERIC
@ATTRIBUTE mprotect NUMERIC
@ATTRIBUTE munmap NUMERIC
@ATTRIBUTE nanosleep NUMERIC
@ATTRIBUTE newfstatat NUMERIC
@ATTRIBUTE openat NUMERIC
@ATTRIBUTE prctl NUMERIC
@ATTRIBUTE pread NUMERIC
@ATTRIBUTE pwrite NUMERIC
@ATTRIBUTE read NUMERIC
@ATTRIBUTE readlinkat NUMERIC
@ATTRIBUTE recvfrom NUMERIC
@ATTRIBUTE renameat NUMERIC
@ATTRIBUTE restart_syscall NUMERIC
@ATTRIBUTE rt_sigaction NUMERIC
@ATTRIBUTE rt_sigprocmask NUMERIC
@ATTRIBUTE rt_sigreturn NUMERIC
@ATTRIBUTE sched_getparam NUMERIC
@ATTRIBUTE sched_getscheduler NUMERIC
@ATTRIBUTE sched_yield NUMERIC
@ATTRIBUTE sendmsg NUMERIC
@ATTRIBUTE sendto NUMERIC
@ATTRIBUTE setpriority NUMERIC
@ATTRIBUTE setrlimit NUMERIC
@ATTRIBUTE setsockopt NUMERIC
@ATTRIBUTE shutdown NUMERIC
@ATTRIBUTE sigaction NUMERIC
@ATTRIBUTE sigaltstack NUMERIC
@ATTRIBUTE socket NUMERIC
@ATTRIBUTE socketpair NUMERIC
@ATTRIBUTE statfs NUMERIC
@ATTRIBUTE tgkill NUMERIC
@ATTRIBUTE ugetrlimit NUMERIC
@ATTRIBUTE unlinkat NUMERIC
@ATTRIBUTE utimensat NUMERIC
@ATTRIBUTE write NUMERIC
@ATTRIBUTE writev NUMERIC
@ATTRIBUTE class {lunar_calendar,productivity,file_explorer,to_do_list,drink_recipes,battery_saver,pdf_reader,video_playback,alarm_clock,scientific_calculator,wifi_analyzer}

@DATA
0,0,0,583,70,1043,0,248,242,9681,0,170,0,6,235,20,0,158,0,0,12625,10,1,0,2,0,8,0,11071,0,0,14842,0,104,376,3,2265,759,1368,0,999,1555,180,2419,43,33456,19,10771,0,0,0,1049,50,0,0,128,84,6257,2,1,0,0,0,0,0,2,0,0,0,7,0,7086,3624,file_explorer
0,0,0,312,33,1042,0,396,374,9757,0,135,0,12,283,15,0,150,7,0,13036,8,0,0,3,0,39,0,11176,0,0,11444,0,80,220,3,2419,571,1785,0,747,1130,87,3279,30,20173,19,9121,6,0,0,438,50,0,0,7,98,5289,2,1,0,0,0,0,0,2,1,0,0,13,0,7436,4890,drink_recipes
0,0,0,15,153,507,0,141,164,13183,0,85,0,1,107,0,0,11,0,0,8065,0,0,0,1,0,0,0,13825,0,0,6786,0,20,232,1,643,209,317,0,289,265,51,389,0,1808,2,11618,0,0,0,198,0,0,0,52,256,6972,0,0,0,0,0,0,0,2,0,0,0,0,0,6449,3860,file_explorer
0,0,0,0,1,177,0,57,90,920,0,4,0,1,54,0,0,12,1,0,885,0,1,0,0,0,2,0,916,0,0,1671,0,0,137,0,312,48,215,0,50,88,43,399,0,127,1,2404,1,0,0,126,1,0,0,0,0,1316,0,0,0,0,0,0,0,0,0,0,0,1,0,692,807,scientific_calculator
0,0,0,8,49,787,0,275,427,5794,0,80,0,6,435,20,0,215,0,0,5760,29,0,0,2,0,6,0,5491,0,0,9087,0,56,164,3,1055,406,810,0,502,336,130,1374,41,1019,4,12194,0,0,2,252,0,0,0,2,76,7275,2,0,0,0,0,0,0,2,1,0,0,3,0,3848,3170,to_do_list
0,0,0,42,524,2351,0,231,186,16884,0,640,0,48,108,0,0,780,47,0,14971,0,0,0,2,0,547,0,19087,0,0,10913,0,746,1549,1,2134,588,535,0,551,1801,42,539,0,7166,2,9675,47,0,0,1049,0,0,0,15,320,6609,2,0,0,0,0,0,0,2,0,0,0,47,0,25002,3240,battery_saver
0,0,0,40,19,713,0,280,261,8235,0,2,0,0,168,0,0,11,0,0,8946,0,0,0,1,0,7,0,10735,0,0,6970,0,20,449,0,412,68,422,0,369,125,80,323,0,2778,2,10667,0,0,0,267,0,0,0,1,320,7050,0,0,0,0,0,0,0,2,0,0,0,0,0,6800,4200,battery_saver
0,0,0,123,60,761,0,152,264,6125,0,106,0,13,156,0,0,67,9,0,8300,0,0,0,3,0,16,0,5882,0,0,7462,0,80,520,3,1156,594,949,0,556,656,92,1095,0,7498,18,12926,9,0,2,934,50,0,0,2,22,7055,2,1,0,0,0,0,0,2,0,0,0,14,0,5276,4066,battery_saver
0,0,0,502,30,1252,0,274,348,9800,0,515,0,37,1272,26,0,1357,0,0,13924,205,1,0,3,0,8,0,10689,0,0,10943,0,106,232,3,1158,704,558,0,1093,1526,145,1200,58,36548,19,13604,0,0,0,229,50,0,0,242,98,7718,2,1,0,0,0,0,0,2,0,0,0,5,0,7560,3715,to_do_list
0,0,0,0,20,562,0,255,282,3048,0,0,0,0,187,0,0,0,0,0,88,0,0,0,0,0,0,0,2080,0,0,4564,0,26,608,0,419,32,335,0,200,78,7,440,0,2084,0,10509,0,0,0,525,0,0,0,0,0,6315,0,0,0,0,0,0,0,0,0,0,0,0,0,3337,2346,lunar_calendar
