% 1. Title: Playstore Data Category Classification
% 
% 2. Sources:
%      (a) Creator: P. K. Das
%      (b) Source: Google Play Store dataset
%      (c) Date: June, 2016
% 
@RELATION playstore

@ATTRIBUTE _exit NUMERIC
@ATTRIBUTE _llseek NUMERIC
@ATTRIBUTE arch_prctl NUMERIC
@ATTRIBUTE bind NUMERIC
@ATTRIBUTE brk NUMERIC
@ATTRIBUTE chdir NUMERIC
@ATTRIBUTE clock_gettime NUMERIC
@ATTRIBUTE clone NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE connect NUMERIC
@ATTRIBUTE dup NUMERIC
@ATTRIBUTE epoll_ctl NUMERIC
@ATTRIBUTE epoll_pwait NUMERIC
@ATTRIBUTE execve NUMERIC
@ATTRIBUTE exit_group NUMERIC
@ATTRIBUTE faccessat NUMERIC
@ATTRIBUTE fchmod NUMERIC
@ATTRIBUTE fchmodat NUMERIC
@ATTRIBUTE fcntl NUMERIC
@ATTRIBUTE fdatasync NUMERIC
@ATTRIBUTE flock NUMERIC
@ATTRIBUTE fstat NUMERIC
@ATTRIBUTE fsync NUMERIC
@ATTRIBUTE ftruncate NUMERIC
@ATTRIBUTE futex NUMERIC
@ATTRIBUTE getcwd NUMERIC
@ATTRIBUTE getegid NUMERIC
@ATTRIBUTE geteuid NUMERIC
@ATTRIBUTE getgid NUMERIC
@ATTRIBUTE getpgid NUMERIC
@ATTRIBUTE getppid NUMERIC
@ATTRIBUTE getpriority NUMERIC
@ATTRIBUTE getrlimit NUMERIC
@ATTRIBUTE getsockname NUMERIC
@ATTRIBUTE getsockopt NUMERIC
@ATTRIBUTE gettid NUMERIC
@ATTRIBUTE gettimeofday NUMERIC
@ATTRIBUTE getuid NUMERIC
@ATTRIBUTE inotify_add_watch NUMERIC
@ATTRIBUTE inotify_rm_watch NUMERIC
@ATTRIBUTE ioctl NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE listen NUMERIC
@ATTRIBUTE lseek NUMERIC
@ATTRIBUTE madvise NUMERIC
@ATTRIBUTE mincore NUMERIC
@ATTRIBUTE mkdirat NUMERIC
@ATTRIBUTE mmap NUMERIC
@ATTRIBUTE modify_ldt NUMERIC
@ATTRIBUTE mprotect NUMERIC
@ATTRIBUTE msync NUMERIC
@ATTRIBUTE munmap NUMERIC
@ATTRIBUTE nanosleep NUMERIC
@ATTRIBUTE newfstatat NUMERIC
@ATTRIBUTE openat NUMERIC
@ATTRIBUTE personality NUMERIC
@ATTRIBUTE ppoll NUMERIC
@ATTRIBUTE prctl NUMERIC
@ATTRIBUTE pread NUMERIC
@ATTRIBUTE pwrite NUMERIC
@ATTRIBUTE read NUMERIC
@ATTRIBUTE readlinkat NUMERIC
@ATTRIBUTE recvfrom NUMERIC
@ATTRIBUTE recvmsg NUMERIC
@ATTRIBUTE renameat NUMERIC
@ATTRIBUTE restart_syscall NUMERIC
@ATTRIBUTE rt_sigaction NUMERIC
@ATTRIBUTE rt_sigprocmask NUMERIC
@ATTRIBUTE rt_sigreturn NUMERIC
@ATTRIBUTE rt_sigtimedwait NUMERIC
@ATTRIBUTE sched_getparam NUMERIC
@ATTRIBUTE sched_getscheduler NUMERIC
@ATTRIBUTE sched_yield NUMERIC
@ATTRIBUTE sendmsg NUMERIC
@ATTRIBUTE sendto NUMERIC
@ATTRIBUTE set_thread_area NUMERIC
@ATTRIBUTE set_tid_address NUMERIC
@ATTRIBUTE setitimer NUMERIC
@ATTRIBUTE setpgid NUMERIC
@ATTRIBUTE setpriority NUMERIC
@ATTRIBUTE setresuid NUMERIC
@ATTRIBUTE setrlimit NUMERIC
@ATTRIBUTE setsockopt NUMERIC
@ATTRIBUTE shutdown NUMERIC
@ATTRIBUTE sigaction NUMERIC
@ATTRIBUTE sigaltstack NUMERIC
@ATTRIBUTE sigreturn NUMERIC
@ATTRIBUTE socket NUMERIC
@ATTRIBUTE socketpair NUMERIC
@ATTRIBUTE statfs NUMERIC
@ATTRIBUTE tgkill NUMERIC
@ATTRIBUTE ugetrlimit NUMERIC
@ATTRIBUTE umask NUMERIC
@ATTRIBUTE uname NUMERIC
@ATTRIBUTE unlinkat NUMERIC
@ATTRIBUTE utimensat NUMERIC
@ATTRIBUTE write NUMERIC
@ATTRIBUTE writev NUMERIC
@ATTRIBUTE class {communication,personalization,video_playback,drink_recipes,music_n_audio,shopping,education,tools,health_n_fitness,productivity,arcade,entertainment,file_explorer,travel_n_local,scientific_calculator,news_n_magazines,alarm_clock,Lifestyle,business,pdf_reader,libraries_n_demo,adventure,wifi_analyzer,_exit,lunar_calendar,lifestyle,medical,battery_saver,social,books_n_reference,to_do_list}

@DATA
192,3192,0,113,1,0,266887,261,4613,308,584,531,42971,1,1,4486,1,202,0,53,2,0,198,0,95817,0,0,0,0,0,1,1105,0,238,507,0,12331,0,4,0,18007,0,1,28,10694,0,11,0,646,2199,0,4001,20,0,4613,2,2,3161,0,0,57659,39,10979,6492,191,2,0,1587,50,1,0,0,2078,278,15115,1,183,0,1,384,0,1,290,0,14,453,0,316,10,0,0,6,0,0,207,0,37271,4983,video_playback
7,0,36,1,0,0,6,38,188,0,29,46,1230,0,0,55,0,6,129,25,0,89,4,0,5036,0,8,20,8,0,1,315,1,0,7,0,0,587,0,0,2462,1,1,119,395,0,0,379,0,201,0,248,0,71,181,0,0,785,217,0,2751,1,1371,1,2,9,0,306,50,1,0,0,68,0,581,0,7,0,0,57,0,0,0,0,0,45,0,1,4,0,0,0,0,0,6,0,2432,332,tools
30,3,65,5,1,0,364,91,1431,81,313,581,25647,1,1,123,1,10,903,63,2,524,6,298,56436,0,12,37,12,0,1,1065,5,27,69,0,2,8722,4,0,10024,0,1,451,5014,0,11,1641,11,1402,0,1303,6,554,1392,2,3,3544,739,476,35310,35,7947,3142,8,2,2,973,50,1,0,0,262,128,8761,1,26,0,1,131,0,1,48,0,10,121,0,91,12,2,0,1,0,0,22,0,32609,4624,entertainment
1,0,4,0,0,0,0,4,54,0,6,4,811,0,0,14,0,7,2,0,0,19,6,0,2181,0,0,0,0,0,1,280,0,0,8,0,0,289,0,0,2130,0,0,0,196,0,0,87,0,150,0,62,0,18,58,0,0,588,57,0,1229,1,1063,1,6,1,0,81,0,1,0,0,12,0,0,0,1,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,2456,19,tools
67,3,121,2,1,0,234,141,1236,16,305,304,24161,1,1,918,1,5,2221,34,2,2563,2,2,44090,0,12,399,12,0,1,1389,4,0,12,0,2,8111,4,0,12970,0,1,202,4153,0,6,2486,11,1543,0,1333,0,1624,1279,2,0,3655,3450,24,16436,30,10806,2345,3,1,2,10404,0,1,0,0,266,127,9048,1,63,0,1,173,0,0,9,0,10,208,0,23,10,0,0,1,0,0,11,0,19349,4449,personalization
0,0,7,0,0,0,0,7,253,0,84,164,2029,0,0,0,0,0,84,0,0,0,0,0,47172,0,0,0,0,0,0,570,0,0,0,0,0,1078,0,0,3739,0,0,0,1946,0,0,684,0,50,0,644,0,68,83,0,0,1385,1128,0,2490,0,3154,1,0,0,0,233,0,1,0,0,162,0,1531,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4311,1627,tools
3,0,17,2,0,0,4,25,115,0,2,9,72,0,0,33,0,3,61,9,0,52,1,0,912,0,10,11,10,0,0,25,1,0,7,0,0,44,4,0,375,1,1,90,147,0,4,304,0,517,0,198,0,1178,173,0,0,172,135,6,127,3,8,1,0,0,2,139,1,1,0,0,0,0,2,0,3,0,0,29,0,0,0,0,0,28,0,7,5,0,0,0,0,0,3,0,91,27,entertainment
0,0,3,0,0,0,0,3,275,0,68,92,4339,0,0,78,0,39,68,0,0,78,0,0,6743,0,0,0,0,0,0,700,0,0,78,0,0,1406,0,0,9872,0,0,0,619,0,0,513,0,23,0,494,0,136,169,0,0,1479,724,0,2656,0,11835,1,0,0,0,59,0,1,0,0,15,0,7278,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4631,1294,tools
19,3,66,6,1,0,846,90,1540,21,227,440,11572,1,1,425,1,79,1017,162,2,870,71,152,52028,0,12,98,12,0,1,1130,4,10,135,0,2,3965,4,0,9979,0,1,728,3279,0,14,1854,11,1652,0,1435,4,1156,2014,2,4,3113,1195,487,39505,50,10188,1336,69,2,2,1374,50,1,0,0,340,39,7277,1,15,0,1,117,0,1,26,0,10,109,0,32,12,2,0,1,0,0,91,0,41674,1530,tools
98,0,209,5,0,0,512,265,2256,33,968,441,82434,0,0,56,0,2,413,32,0,422,1,88,143198,0,12,29,12,0,1,1091,4,13,115,0,0,18818,4,0,24771,0,1,223,9471,0,5,3670,0,1692,0,2545,2,614,2765,0,0,2849,1124,122,56698,8,7676,13893,2,2,2,554,0,1,0,0,150,872,20732,0,72,0,0,270,0,0,45,0,0,363,0,40,12,0,0,0,0,0,5,0,54126,4423,wifi_analyzer
