% 1. Title: App Behavioral Category Classification
% 
% 2. Sources:
%      (a) Creator: P. K. Das
%      (b) Source: Google Play Store dataset
%      (c) Date: January 7, 2017
% 
@RELATION playstore

@ATTRIBUTE _exit NUMERIC
@ATTRIBUTE _llseek NUMERIC
@ATTRIBUTE accept NUMERIC
@ATTRIBUTE arch_prctl NUMERIC
@ATTRIBUTE bind NUMERIC
@ATTRIBUTE brk NUMERIC
@ATTRIBUTE chdir NUMERIC
@ATTRIBUTE clock_gettime NUMERIC
@ATTRIBUTE clone NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE connect NUMERIC
@ATTRIBUTE dup NUMERIC
@ATTRIBUTE epoll_create NUMERIC
@ATTRIBUTE epoll_ctl NUMERIC
@ATTRIBUTE epoll_pwait NUMERIC
@ATTRIBUTE eventfd NUMERIC
@ATTRIBUTE execve NUMERIC
@ATTRIBUTE exit_group NUMERIC
@ATTRIBUTE faccessat NUMERIC
@ATTRIBUTE fchmod NUMERIC
@ATTRIBUTE fchmodat NUMERIC
@ATTRIBUTE fcntl NUMERIC
@ATTRIBUTE fdatasync NUMERIC
@ATTRIBUTE flock NUMERIC
@ATTRIBUTE fstat NUMERIC
@ATTRIBUTE fstatat NUMERIC
@ATTRIBUTE fsync NUMERIC
@ATTRIBUTE ftruncate NUMERIC
@ATTRIBUTE futex NUMERIC
@ATTRIBUTE getcwd NUMERIC
@ATTRIBUTE getdents NUMERIC
@ATTRIBUTE getegid NUMERIC
@ATTRIBUTE geteuid NUMERIC
@ATTRIBUTE getgid NUMERIC
@ATTRIBUTE getpgid NUMERIC
@ATTRIBUTE getppid NUMERIC
@ATTRIBUTE getpriority NUMERIC
@ATTRIBUTE getrlimit NUMERIC
@ATTRIBUTE getsockname NUMERIC
@ATTRIBUTE getsockopt NUMERIC
@ATTRIBUTE gettid NUMERIC
@ATTRIBUTE gettimeofday NUMERIC
@ATTRIBUTE getuid NUMERIC
@ATTRIBUTE inotify_add_watch NUMERIC
@ATTRIBUTE inotify_init NUMERIC
@ATTRIBUTE inotify_rm_watch NUMERIC
@ATTRIBUTE ioctl NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE listen NUMERIC
@ATTRIBUTE lseek NUMERIC
@ATTRIBUTE madvise NUMERIC
@ATTRIBUTE mincore NUMERIC
@ATTRIBUTE mkdirat NUMERIC
@ATTRIBUTE mmap NUMERIC
@ATTRIBUTE modify_ldt NUMERIC
@ATTRIBUTE mprotect NUMERIC
@ATTRIBUTE msync NUMERIC
@ATTRIBUTE munmap NUMERIC
@ATTRIBUTE nanosleep NUMERIC
@ATTRIBUTE newfstatat NUMERIC
@ATTRIBUTE openat NUMERIC
@ATTRIBUTE personality NUMERIC
@ATTRIBUTE pipe NUMERIC
@ATTRIBUTE ppoll NUMERIC
@ATTRIBUTE prctl NUMERIC
@ATTRIBUTE pread NUMERIC
@ATTRIBUTE pselect NUMERIC
@ATTRIBUTE pwrite NUMERIC
@ATTRIBUTE read NUMERIC
@ATTRIBUTE readlinkat NUMERIC
@ATTRIBUTE recvfrom NUMERIC
@ATTRIBUTE recvmsg NUMERIC
@ATTRIBUTE renameat NUMERIC
@ATTRIBUTE restart_syscall NUMERIC
@ATTRIBUTE rt_sigaction NUMERIC
@ATTRIBUTE rt_sigprocmask NUMERIC
@ATTRIBUTE rt_sigreturn NUMERIC
@ATTRIBUTE rt_sigtimedwait NUMERIC
@ATTRIBUTE sched_getparam NUMERIC
@ATTRIBUTE sched_getscheduler NUMERIC
@ATTRIBUTE sched_yield NUMERIC
@ATTRIBUTE sendmsg NUMERIC
@ATTRIBUTE sendto NUMERIC
@ATTRIBUTE set_thread_area NUMERIC
@ATTRIBUTE set_tid_address NUMERIC
@ATTRIBUTE setitimer NUMERIC
@ATTRIBUTE setpgid NUMERIC
@ATTRIBUTE setpriority NUMERIC
@ATTRIBUTE setresuid NUMERIC
@ATTRIBUTE setrlimit NUMERIC
@ATTRIBUTE setsockopt NUMERIC
@ATTRIBUTE shutdown NUMERIC
@ATTRIBUTE sigaction NUMERIC
@ATTRIBUTE sigaltstack NUMERIC
@ATTRIBUTE sigreturn NUMERIC
@ATTRIBUTE socket NUMERIC
@ATTRIBUTE socketpair NUMERIC
@ATTRIBUTE statfs NUMERIC
@ATTRIBUTE tgkill NUMERIC
@ATTRIBUTE ugetrlimit NUMERIC
@ATTRIBUTE umask NUMERIC
@ATTRIBUTE uname NUMERIC
@ATTRIBUTE unlinkat NUMERIC
@ATTRIBUTE utimensat NUMERIC
@ATTRIBUTE wait NUMERIC
@ATTRIBUTE write NUMERIC
@ATTRIBUTE writev NUMERIC
@ATTRIBUTE class {alarm_clock,file_explorer,to_do_list,drink_recipes,battery_saver,pdf_reader,video_playback,lunar_calendar,scientific_calculator,wifi_analyzer}

@DATA
14,347,1,0,2,1,0,298012,75,4620,9,674,9,410,44942,3,1,1,429,1,11,1827,428,2,1518,2009,5,244,119609,0,1077,12,225,12,0,1,1944,0,2,66,0,13087,10918,4,1,0,25060,0,1,773,8322,0,12,5445,122,1219,0,4479,6,0,4995,2,7,0,5203,2360,1,1295,93829,34,10703,5601,5,2,0,7724,50,1,0,0,1036,185,13200,1,10,0,1,263,0,1,4,0,13,89,0,16,10,3,0,6,0,0,23,0,1,67791,11076,pdf_reader
31,0,1,51,3,0,0,30,71,1524,22,354,7,290,11632,1,0,0,354,0,120,392,25,0,413,0,118,77,54949,0,4,12,24,12,0,0,1012,4,8,138,0,0,3781,4,1,0,8623,0,1,251,3753,0,6,2006,0,819,0,1554,0,1110,1076,0,7,0,2389,1339,1,91,6868,4,8965,1782,118,0,2,1438,0,1,0,0,151,149,7240,0,28,0,0,88,0,0,14,0,0,102,0,29,10,0,0,0,0,0,121,0,0,9219,2875,battery_saver
45,0,1,29,3,0,0,151,84,2424,35,591,7,363,31147,1,0,0,510,0,44,1708,85,0,1775,0,1,87,73898,0,4,12,266,12,0,0,1575,4,12,21,0,0,9902,4,1,0,12906,0,1,175,8193,0,6,2504,0,911,0,2060,0,1049,2073,0,7,0,3747,1091,1,282,24454,5,11393,5292,1,0,2,489,0,1,0,0,134,220,12346,0,15,0,0,152,0,0,49,0,0,129,0,42,10,0,0,0,0,0,6,0,0,27271,4370,to_do_list
22,0,1,54,2,0,0,669,70,2586,11,725,12,455,55732,7,0,0,231,0,16,801,55,0,566,0,14,225,130022,0,8,10,33,10,0,1,1559,5,4,118,0,0,13145,0,0,0,22584,0,1,307,8562,0,7,2858,0,472,0,2440,13,554,2514,0,6,1,4407,1865,4,429,95863,2,9911,8049,14,12,0,1002,50,1,0,0,2644,239,16155,0,21,0,0,278,0,1,8,0,0,92,0,13,9,2,0,0,0,0,27,0,0,54299,4377,alarm_clock
11,0,1,51,14,0,0,710,61,2313,136,767,8,692,55028,3,0,0,201,0,3,1223,55,0,689,0,1,363,100006,0,8,10,33,10,0,1,1344,5,51,210,0,0,11112,0,0,0,20592,0,1,315,8732,0,8,2643,0,499,0,1977,14,715,2635,0,18,13,3716,1620,49,681,92216,2,11170,8461,3,11,0,541,50,1,0,0,2499,369,16680,0,10,0,0,314,0,1,114,0,0,72,0,150,9,2,0,0,0,0,14,0,0,43729,4014,battery_saver
23,3,1,64,2,1,0,1077,97,3143,9,969,9,629,57691,3,1,1,348,1,48,1113,68,2,735,44,45,298,99636,0,16,12,39,12,0,1,1882,5,1,126,0,2,14072,4,1,0,23891,0,1,502,10953,0,10,3906,11,1572,0,2721,16,792,3629,2,7,0,5537,1169,1,581,140484,36,11278,8071,44,2,0,2450,50,1,0,0,2861,254,17169,1,19,0,1,266,0,1,3,0,10,120,0,16,12,2,0,1,0,0,64,0,1,91299,4598,scientific_calculator
192,3192,1,0,113,1,0,266887,261,4613,308,584,11,531,42971,5,1,1,4486,1,202,3766,53,2,812,6950,198,362,95817,0,4882,12,33,12,0,1,1105,0,238,507,0,12331,10265,4,1,0,18007,0,1,28,10694,0,11,4624,646,2199,0,4001,20,0,4613,2,8,2,3161,581,9,528,57659,39,10979,6492,191,2,0,1587,50,1,0,0,2078,278,15115,1,183,0,1,384,0,1,290,0,14,453,0,316,10,12,0,6,0,0,207,0,1,37271,4983,video_playback
90,1630,1,1,46,3,0,45851,215,4069,132,44,25,74,1758,19,6,3,1486,1,266,2463,547,2,3407,2856,246,85,49571,0,113,12,375,12,0,1,655,0,89,1152,0,3363,1276,4,1,0,12351,0,1,112,3522,77,76,3516,470,2455,0,2732,9,1,7798,4,24,38,1789,1819,46,1412,9004,75,686,112,225,0,9,701,106,3,86,86,1112,60,261,2,88,0,2,271,0,0,196,0,105,305,0,152,12,5,43,4,0,0,260,0,4,4801,369,battery_saver
6,0,0,14,0,0,0,0,14,1321,0,351,6,282,2926,6,0,0,214,0,3,951,249,0,790,0,0,0,30203,0,0,0,154,0,0,0,1390,0,0,5,0,0,3516,0,0,0,10335,0,0,4,1986,0,1,1638,0,125,0,1387,0,490,658,0,0,0,3164,2216,0,544,1740,1,7681,1,0,0,0,808,0,1,0,0,157,0,4694,0,6,0,0,21,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6164,2625,alarm_clock
51,3,1,93,3,1,0,479,120,1678,12,362,9,502,26160,3,1,1,255,1,25,742,58,2,535,44,20,197,82656,0,14,12,35,12,0,0,2193,5,4,58,0,2,7036,4,1,0,18502,0,1,460,6612,0,11,2482,11,1646,0,1901,12,969,1641,2,8,1,5611,1429,5,316,45538,49,13491,3211,21,3,2,1417,50,1,0,0,511,78,11042,1,47,0,1,168,0,1,10,0,10,171,0,20,12,2,0,1,0,0,40,0,1,44603,4866,battery_saver
