% 1. Title: Playstore Data Category Classification
% 
% 2. Sources:
%      (a) Creator: P. K. Das
%      (b) Source: Google Play Store dataset
%      (c) Date: June, 2016
% 
@RELATION playstore

@ATTRIBUTE _llseek NUMERIC
@ATTRIBUTE clock_gettime NUMERIC
@ATTRIBUTE clone NUMERIC
@ATTRIBUTE close NUMERIC
@ATTRIBUTE connect NUMERIC
@ATTRIBUTE dup NUMERIC
@ATTRIBUTE epoll_ctl NUMERIC
@ATTRIBUTE epoll_pwait NUMERIC
@ATTRIBUTE exit_group NUMERIC
@ATTRIBUTE faccessat NUMERIC
@ATTRIBUTE fchmodat NUMERIC
@ATTRIBUTE fcntl NUMERIC
@ATTRIBUTE fdatasync NUMERIC
@ATTRIBUTE flock NUMERIC
@ATTRIBUTE fstat NUMERIC
@ATTRIBUTE fsync NUMERIC
@ATTRIBUTE futex NUMERIC
@ATTRIBUTE geteuid NUMERIC
@ATTRIBUTE getppid NUMERIC
@ATTRIBUTE getpriority NUMERIC
@ATTRIBUTE getrlimit NUMERIC
@ATTRIBUTE getsockopt NUMERIC
@ATTRIBUTE gettimeofday NUMERIC
@ATTRIBUTE getuid NUMERIC
@ATTRIBUTE inotify_add_watch NUMERIC
@ATTRIBUTE inotify_rm_watch NUMERIC
@ATTRIBUTE ioctl NUMERIC
@ATTRIBUTE kill NUMERIC
@ATTRIBUTE lseek NUMERIC
@ATTRIBUTE madvise NUMERIC
@ATTRIBUTE mkdirat NUMERIC
@ATTRIBUTE mmap NUMERIC
@ATTRIBUTE mprotect NUMERIC
@ATTRIBUTE munmap NUMERIC
@ATTRIBUTE nanosleep NUMERIC
@ATTRIBUTE newfstatat NUMERIC
@ATTRIBUTE openat NUMERIC
@ATTRIBUTE prctl NUMERIC
@ATTRIBUTE pread NUMERIC
@ATTRIBUTE pwrite NUMERIC
@ATTRIBUTE read NUMERIC
@ATTRIBUTE readlinkat NUMERIC
@ATTRIBUTE recvfrom NUMERIC
@ATTRIBUTE renameat NUMERIC
@ATTRIBUTE rt_sigaction NUMERIC
@ATTRIBUTE rt_sigprocmask NUMERIC
@ATTRIBUTE rt_sigreturn NUMERIC
@ATTRIBUTE sched_getparam NUMERIC
@ATTRIBUTE sched_getscheduler NUMERIC
@ATTRIBUTE sched_yield NUMERIC
@ATTRIBUTE sendmsg NUMERIC
@ATTRIBUTE sendto NUMERIC
@ATTRIBUTE setpriority NUMERIC
@ATTRIBUTE setrlimit NUMERIC
@ATTRIBUTE setsockopt NUMERIC
@ATTRIBUTE sigaction NUMERIC
@ATTRIBUTE socket NUMERIC
@ATTRIBUTE socketpair NUMERIC
@ATTRIBUTE statfs NUMERIC
@ATTRIBUTE tgkill NUMERIC
@ATTRIBUTE ugetrlimit NUMERIC
@ATTRIBUTE unlinkat NUMERIC
@ATTRIBUTE write NUMERIC
@ATTRIBUTE writev NUMERIC
@ATTRIBUTE class {health_n_fitness,productivity,business,entertainment,lifestyle,media_n_video,education,tools,books_n_reference}

@DATA
18,39203,116,1239,1,447,308,6266,0,122,13,0,0,0,0,2,6432,0,1,0,0,8,138,0,0,0,10763,0,0,795,9,0,340,946,0,0,512,48,0,0,926,2,10243,1,0,393,1,0,0,1,226,6471,1,1,0,0,1,3,0,0,3,10,4518,2626,productivity
186,50115,46,1040,1,152,199,9895,0,152,26,0,0,0,0,21,5979,0,1,0,0,27,174,0,0,0,7113,0,9,1574,4,0,718,560,0,0,1332,307,0,0,29228,26,6199,18,0,891,126,0,0,3,112,3971,3,1,0,8,1,3,0,0,3,23,3131,2262,tools
82,39047,52,809,1,188,280,6359,0,330,16,0,0,0,0,12,6007,0,1,1,0,19,2519,0,0,0,5600,0,9,3205,4,0,471,1569,0,0,805,350,0,0,19805,23,8855,10,0,10844,126,1,1,53,98,5415,3,1,0,8,1,3,0,0,3,15,3445,3714,lifestyle
2,22605,6,792,0,269,400,3152,0,40,5,0,0,0,0,5,4115,0,0,0,0,5,97,0,0,0,6602,0,0,664,0,0,21,423,0,0,320,78,0,0,522,0,11398,3,0,1269,0,0,0,2,0,7007,0,0,0,0,0,0,0,0,0,3,2734,3031,tools
68,67423,5631,6688,1,18,31,6165,0,2055,60,0,0,0,0,60,38642,0,1,0,0,66,5610,0,0,0,88257,0,0,12516,5,0,5691,460,0,0,10492,136,0,0,498,1349,11287,55,0,667,0,0,0,51,0,7818,0,0,0,0,1,0,0,0,0,55,545,36143,tools
26,26184,7,615,1,192,351,3556,0,110,14,0,40,0,0,12,2555,0,1,0,0,20,291,0,0,0,3666,0,0,271,3,0,61,368,0,0,276,38,0,0,958,5,14868,11,0,443,0,0,0,0,0,8274,0,0,0,0,1,0,0,0,0,15,2898,1821,tools
0,31285,3,161,0,6,9,7720,0,89,4,0,5,0,0,4,6400,0,0,0,0,4,254,0,0,0,1328,0,0,171,0,0,5,64,0,0,220,0,0,0,2297,0,261,3,0,44,1,0,0,0,12,136,0,0,0,0,0,0,0,0,1,3,479,80,tools
172,25841,25,907,1,314,544,4550,0,26,5,0,0,0,0,0,4947,0,1,0,0,6,261,0,0,0,8213,0,3,793,4,0,588,1104,0,0,609,288,0,0,22172,22,13862,0,0,150,126,0,0,2,0,7694,2,0,0,8,1,1,0,0,1,2,3951,2678,productivity
0,0,16,235,0,59,52,606,0,52,2,170,19,0,173,0,59,28,0,0,0,0,0,697,0,0,1501,0,4,181,0,306,73,211,0,92,138,16,375,45,510,1,2420,0,0,699,14,0,0,42,0,1000,0,0,0,0,0,0,0,0,0,0,880,876,productivity
0,38309,58,751,0,221,283,7854,0,56,0,0,0,0,0,0,5247,0,0,0,0,0,383,0,0,0,9154,0,0,1151,0,0,74,636,0,0,823,33,0,0,21498,0,10685,0,0,508,8,0,0,2,56,6469,0,0,0,0,0,0,0,0,0,0,4091,3992,tools
